"File","Date","Hour"
"meps_mbr0_ppalgs_plevels_2_5km_20161115T00Z.nc","20161115","00"
"meps_mbr0_pp_2_5km_20161115T18Z.nc","20161115","18"
"meps_mbr0_pp_2_5km_20161115T12Z.nc","20161115","12"
"meps_mbr0_pp_2_5km_20161115T06Z.nc","20161115","06"
"meps_mbr0_pp_2_5km_20161115T00Z.nc","20161115","00"
"meps_mbr0_full_backup_2_5km_20161115T00Z.nc","20161115","00"
"meps_mbr0_extracted_backup_2_5km_20161115T00Z.nc","20161115","00"
"wbkz_2_5km_mbr1_20161116T06Z.nc","20161116","06"
"wbkz_2_5km_20161116T06Z.nc","20161116","06"
"t2myr_kf_0_5km_mbr1_20161116T18Z.nc","20161116","18"
"t2myr_kf_0_5km_mbr1_20161116T12Z.nc","20161116","12"
"t2myr_kf_0_5km_mbr1_20161116T06Z.nc","20161116","06"
"t2myr_kf_0_5km_mbr1_20161116T00Z.nc","20161116","00"
"t2myr_kf_0_5km_mbr0_20161116T18Z.nc","20161116","18"
"t2myr_kf_0_5km_mbr0_20161116T12Z.nc","20161116","12"
"t2myr_kf_0_5km_mbr0_20161116T06Z.nc","20161116","06"
"t2myr_kf_0_5km_mbr0_20161116T00Z.nc","20161116","00"
"meps_subset_2_5km_20161116T18Z.nc","20161116","18"
"meps_subset_2_5km_20161116T12Z.nc","20161116","12"
"meps_subset_2_5km_20161116T06Z.nc","20161116","06"
"meps_subset_2_5km_20161116T00Z.nc","20161116","00"
"meps_mbr1_pp_2_5km_20161116T18Z.nc","20161116","18"
"meps_mbr1_pp_2_5km_20161116T12Z.nc","20161116","12"
"meps_mbr1_pp_2_5km_20161116T06Z.nc","20161116","06"
"meps_mbr1_pp_2_5km_20161116T00Z.nc","20161116","00"
"meps_mbr0_vc_2_5km_20161116T18Z.nc","20161116","18"
"meps_mbr0_vc_2_5km_20161116T12Z.nc","20161116","12"
"meps_mbr0_vc_2_5km_20161116T06Z.nc","20161116","06"
"meps_mbr0_vc_2_5km_20161116T00Z.nc","20161116","00"
